name,city,iata,icao,lat,lng
Masirah Air Base,Masirah,MSH,OOMA,20.6754,58.8905
Muscat International Airport,Muscat,MCT,OOMS,23.5933,58.2844
Salalah Airport,Salalah,SLL,OOSA,17.0387,54.0913
Thumrait Air Base,Thumrait,TTH,OOTH,17.666,54.0246
Sohar Airport,Sohar,OHS,OOSH,24.386,56.6254
Bhagatanwala Airport,Bhagtanwala,,OPBG,32.0561,72.9484
Faisalabad International Airport,Faisalabad,LYP,OPFA,31.365,72.9948
Gwadar International Airport,Gwadar,GWD,OPGD,25.2333,62.3295
Gilgit Airport,Gilgit,GIL,OPGT,35.9188,74.3336
Shahbaz Air Base,Jacobsbad,,OPJA,28.2842,68.4497
Jinnah International Airport,Karachi,KHI,OPKC,24.9065,67.1608
Alama Iqbal International Airport,Lahore,LHE,OPLA,31.5216,74.4036
Walton Airport,Lahore,,OPLH,31.4948,74.3462
Mangla Airport,Mangla,,OPMA,33.0501,73.6384
Muzaffarabad Airport,Muzaffarabad,MFG,OPMF,34.339,73.5086
Mianwali Air Base,Mianwali,,OPMI,32.5631,71.5707
Moenjodaro Airport,Moenjodaro,MJD,OPMJ,27.3352,68.1431
Masroor Air Base,Karachi,,OPMR,24.8936,66.9388
Multan International Airport,Multan,MUX,OPMT,30.2032,71.4191
Shaheed Benazirabad Airport,Nawabshah,WNS,OPNH,26.2194,68.3901
Okara Cantonment Airstrip,Okara,,OPOK,30.741,73.3577
Panjgur Airport,Panjgur,PJG,OPPG,26.9545,64.1325
Pasni Airport,Pasni,PSI,OPPI,25.2905,63.3451
Peshawar International Airport,Peshawar,PEW,OPPS,33.9939,71.5146
Qasim Airport,Qasim,,OPQS,33.5602,73.0332
Quetta International Airport,Quetta,UET,OPQT,30.2514,66.9378
Shaikh Zaid Airport,Rahim Yar Khan,RYK,OPRK,28.3839,70.2796
Benazir Bhutto International Airport,Islamabad,ISB,OPRN,33.6167,73.0992
Risalpur Air Base,Risalpur,,OPRS,34.0811,71.9726
Rawalakot Airport,Rawala Kot,RAZ,OPRT,33.8497,73.7981
Sukkur Airport,Sukkur,SKZ,OPSK,27.722,68.7917
Saidu Sharif Airport,Saidu Sharif,SDT,OPSS,34.8136,72.3528
Sui Airport,Sui,SUL,OPSU,28.6451,69.1769
Talhar Airport,Talhar,BDN,OPTH,24.8415,68.8384
Wana Airport,Wana,,OPWN,32.3047,69.5704
Zhob Airport,Zhob,PZH,OPZB,31.3584,69.4636
Bannu Airport,Bannu,BNP,OPBN,32.9729,70.5279
Bahawalpur Airport,Bahawalpur,BHV,OPBW,29.3481,71.718
Chitral Airport,Chitral,CJL,OPCH,35.8866,71.8006
Dalbandin Airport,Dalbandin,DBA,OPDB,28.8783,64.3998
Dera Ghazi Khan Airport,Dera Ghazi Khan,DEA,OPDG,29.961,70.4859
Dera Ismael Khan Airport,Dera Ismael Khan,DSK,OPDI,31.9094,70.8966
Jiwani Airport,Jiwani,JIW,OPJI,25.0678,61.8054
Hyderabad Airport,Hyderabad,HDD,OPKD,25.3181,68.3661
Khuzdar Airport,Khuzdar,KDD,OPKH,27.7906,66.6473
Ormara Airport,Ormara Raik,ORW,OPOR,25.2747,64.586
Parachinar Airport,Parachinar,PAJ,OPPC,33.9021,70.0716
Skardu Airport,Skardu,KDU,OPSD,35.3355,75.536
